"ENTREZID";"SYMBOL";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"1117";"CHI3L2";852,173206920351;-2,08271643489298;0,539143627281017;-3,86300853706911;0,000111999092190861;0,00110067125038889
"11174";"ADAMTS6";320,024791168539;1,88024662415107;0,336407272830861;5,58919730934718;2,28121632954998e-08;1,26805528540853e-06
"11178";"LZTS1";156,801498548499;1,66872365402108;0,356049298569022;4,68677697365998;2,77541128717128e-06;5,76284815775942e-05
"11197";"WIF1";1710,44908461266;-3,55834921557486;0,511468568463931;-6,95712197185739;3,47294266916759e-12;1,26359861797054e-09
"112268148";"LOC112268148";60,6230598953275;-1,78283185960936;0,465153223219371;-3,83278406042252;0,000126701164802647;0,00121175898016816
"11227";"GALNT5";2682,43365472782;-1,64997716492032;0,311595596960646;-5,29525186175434;1,18852483713289e-07;4,62946328896848e-06
"11240";"PADI2";162,235308179163;-1,59295402589562;0,45299872179727;-3,51646472549764;0,000437334766828529;0,00314523462810329
"113130";"CDCA5";74,2360819231048;1,7317605430276;0,477819670166968;3,62429730534629;0,000289748152326557;0,00229405448595245
"113828";"FAM83F";258,219492999305;2,38407482900756;0,629517827729018;3,78714426183623;0,000152388632588806;0,00139245982826152
"114";"ADCY8";58,2281473112389;-3,74218176386639;0,835829386236472;-4,4772076999069;7,56256665366486e-06;0,000128400114100252
"114805";"GALNT13";172,867258621322;-1,75436789479209;0,56606049524307;-3,0992586649926;0,00194005561056542;0,0100795252200732
"115019";"SLC26A9";871,892745081665;-1,63529265966268;0,542190298066109;-3,01608617029015;0,00256060479565293;0,0125436726357429
"115350";"FCRL1";82,3613989817901;-2,01402317705372;0,602737226135813;-3,34146140261778;0,000833386027317469;0,00525469748378313
"115701";"ALPK2";102,121578767686;4,56471988375536;0,816643328387579;5,58961265595369;2,27576683060507e-08;1,26805528540853e-06
"1159";"CKMT1B";36,4605422396432;2,07849817741245;0,529206015730256;3,92757851504071;8,58054134617845e-05;0,000887273768276633
"115908";"CTHRC1";255,562347218358;3,80597384718715;0,638486780669372;5,96092818585385;2,50809181562322e-09;2,18217618893e-07
"116";"ADCYAP1";104,655975330742;-3,51458140379319;1,01248689609692;-3,47123643510025;0,000518067628196219;0,00359659352115926
"116039";"OSR2";46,151602999388;1,51576826959316;0,617975413375601;2,45279704788496;0,01417502892;0,0465016471271067
"116211";"TM4SF19";65,3889670402108;2,49405348097511;0,63512411154223;3,92687576435882;8,60564026591523e-05;0,000888823838819593
"116255";"MOGAT1";20,6957871097154;-1,7589305501944;0,613818447546842;-2,86555504681239;0,00416278892305236;0,0182381192854804
"116535";"MRGPRF";144,346818990677;1,66787139821171;0,306428037009045;5,44294645650351;5,24064031563945e-08;2,49694675038905e-06
"116844";"LRG1";302,881847814252;-1,59132947386936;0,33051093469812;-4,81475590307728;1,47379929387741e-06;3,45953854775418e-05
"117248";"GALNT15";639,416197177189;1,88414222158069;0,534227154634054;3,52685595488182;0,000420525479171424;0,00304450440942239
"1178";"CLC";25,8716083201091;-3,23834520979394;0,873613211155795;-3,70684093193782;0,000209860661287062;0,00178211860285551
"117854";"TRIM6";141,216073727442;1,55076004950864;0,275803011376231;5,6227089101402;1,87986017743152e-08;1,11409019626333e-06
"118663";"BTBD16";32,2490456432567;-2,07143866267517;0,713408952434243;-2,90357817294997;0,00368924856283907;0,0166135528108272
"1188";"CLCNKB";19,9749125197791;-2,31600518348307;0,576098150447338;-4,02015729730203;5,81592961884183e-05;0,000651555054359964
"120065";"OR5P2";56,7422467914516;-2,28221595610038;0,650936232614946;-3,50605150205305;0,000454807207554441;0,00324610280238032
"120425";"JAML";852,48501749135;-1,75684212342263;0,370851422395474;-4,73732070939489;2,16562304512087e-06;4,72980345557163e-05
"120892";"LRRK2";31342,1214485909;-1,87868117074547;0,405845052382645;-4,62906017879499;3,67329018117616e-06;7,20658119000603e-05
"121256";"TMEM132D";45,5018633448357;-2,16976362545221;0,771787545076332;-2,8113483293354;0,00493343441670981;0,0208114233404762
"121601";"ANO4";25,1622885475791;1,58570658072486;0,624187536782512;2,54043294247538;0,0110715322486061;0,0385229645224809
"122786";"FRMD6";1195,86165777173;1,72500940654973;0,331552979273417;5,20281678762173;1,96290361821981e-07;6,85624387046984e-06
"123624";"AGBL1";1379,38301648549;-4,83450607477512;0,9480334377125;-5,09951008314669;3,40533730060673e-07;1,08166755645661e-05
"124093";"CCDC78";160,992659480965;1,90608729293581;0,694137640428417;2,74597886920437;0,0060330649297221;0,0242124182652096
"124902171";"LOC124902171";25,0717405850737;1,50308680985814;0,541087636960222;2,77789900782494;0,0054711620302121;0,0224239203639697
"124902436";"LOC124902436";21,9950113059678;-2,87721496716058;0,744424637473725;-3,86501846167354;0,000111080797273605;0,00109298861927052
"124904912";"LOC124904912";19,4215857790085;1,57625205351955;0,491542115455312;3,20674872805045;0,00134244197154706;0,00753282633105392
"124905572";"LOC124905572";53,7532098124305;1,60720779511998;0,344223838932923;4,66907754007463;3,02555177169219e-06;6,17806866237503e-05
"124906307";"LOC124906307";65,8241215905971;1,90435624010384;0,434296691160421;4,38491998411384;1,1602842034505e-05;0,000180339706922709
"124909470";"LOC124909470";32,7347104095843;-1,82332270527039;0,547414558925901;-3,3307895735327;0,000866000392210475;0,00540709839270573
"124930";"ANKRD13B";65,9767261430692;2,07138527472845;0,42285023492805;4,89862628332442;9,65090036373107e-07;2,46184337278183e-05
"126";"ADH1C";93,6341837441052;1,70278222565159;0,525735672325211;3,23885616914782;0,00120010076243686;0,00692588792568556
"126147";"NTN5";23,1377826024375;1,73519334926147;0,516099921515029;3,36212674508408;0,000773446133388821;0,00495085931604224
"126567";"C2CD4C";33,2294132527588;1,55604508148361;0,598153687306609;2,60141350710422;0,0092840472877032;0,0336949247401588
"1268";"CNR1";377,42560623844;-1,50352768239465;0,425421622269172;-3,53420607625661;0,000409002054012375;0,002977587031689
"127579";"DCST2";17,4807062368013;1,61569914609342;0,596812850868729;2,70721239286584;0,00678508330696495;0,0266037175130811
"1277";"COL1A1";28253,798782831;3,98533398020443;0,737669575448882;5,40260044990916;6,56816535842962e-08;2,98720906883806e-06
"1278";"COL1A2";40141,9109397401;2,92751522028242;0,539935604115978;5,4219710609297;5,89454266522955e-08;2,75118756640408e-06
"1281";"COL3A1";65732,9449770297;4,01047316535789;0,733013099882813;5,47121622519303;4,46957574523707e-08;2,20164424940001e-06
"128368";"OR10Z1";16,1920983895579;-2,0002648711185;0,398498252327877;-5,01950726115787;5,18041874187869e-07;1,51685972527769e-05
"1285";"COL4A3";2807,1758966761;-1,69921372133581;0,441404599622481;-3,84956052290594;0,000118329943448918;0,00114878354437461
"128553";"TSHZ2";567,251663297237;1,62508659863854;0,349647747912785;4,64778225611194;3,35522811607648e-06;6,7395040037978e-05
"1289";"COL5A1";6871,40311626443;2,70465293338903;0,50260339305606;5,38128665814111;7,39553156905384e-08;3,27058190301058e-06
"1290";"COL5A2";7329,95006612993;2,99220341306092;0,54036151762758;5,53741026229622;3,06976890142634e-08;1,62191189250608e-06
"1293";"COL6A3";40842,1628317855;2,28084821063414;0,461802388313903;4,93901345759989;7,85187941886052e-07;2,10201902368793e-05
"1294";"COL7A1";795,631316416339;3,58024872389102;0,493285732796393;7,25796122988375;3,92968142008629e-13;2,42084210691807e-10
"13";"AADAC";120,126501933996;-2,03807554477936;0,55208901477691;-3,69157054429512;0,000222873560588879;0,00187351613522052
"1300";"COL10A1";184,799371095701;2,93450329176509;0,869431221610447;3,37519888730188;0,000737623624527211;0,00476923126213899
"1306";"COL15A1";2017,00439284226;2,69210016342814;0,551250256953549;4,88362613798289;1,04152469102161e-06;2,6183192680643e-05
"1307";"COL16A1";1616,51219354042;2,07020119019524;0,378062257286305;5,4758208477486;4,35488112813603e-08;2,15843009227027e-06
"1308";"COL17A1";318,678133588685;2,8016803812112;0,815199870628564;3,43680179812952;0,000588626171875098;0,0039693834816969
"1311";"COMP";149,628196569948;3,11815945822203;0,541194378007521;5,76162573916963;8,33075656433382e-09;5,5802126292226e-07
"131177";"FAM3D";53,0058873080693;3,57552051316859;0,571793282523682;6,25316984730492;4,02204305046952e-10;5,19265219314247e-08
"131405";"TRIM71";252,133118878625;-1,99673091968276;0,388958493023719;-5,13353212616698;2,84354466010831e-07;9,38604256982966e-06
"135656";"MUCL3";91,9210844213583;-1,66590874475132;0,510739335676153;-3,26175923486659;0,00110723141371019;0,00652638722462683
"1359";"CPA3";867,869902621679;-3,20765034783105;0,689991691135223;-4,64882460041453;3,33831938583146e-06;6,71396420198189e-05
"1361";"CPB2";466,852811288385;-3,13003843653695;0,532712979814858;-5,87565641374983;4,21171073026016e-09;3,19551076212014e-07
"1382";"CRABP2";43,5883811659624;2,10225569265483;0,599996949255514;3,50377730297353;0,000458708788380825;0,00327103295910407
"139411";"PTCHD1";159,409607387234;-1,83640883803655;0,383452434236088;-4,78914377397299;1,67494447471764e-06;3,84157393921986e-05
"140730";"RIMS4";49,8667072937222;-2,50264937759379;0,87297166359694;-2,86681628047584;0,0041462362994474;0,0181832889421675
"140766";"ADAMTS14";154,030049644616;3,49827067464906;0,561345725831275;6,23193606661672;4,6070550743165e-10;5,76205817849475e-08
"142683";"ITLN2";261,622098978076;-2,33156867948401;0,910264872126713;-2,56141783658707;0,0104245895984739;0,0367208714349398
"143662";"MUC15";267,080585552032;-1,60817794828199;0,500676916433629;-3,21200737540928;0,00131810991354565;0,00745113757272328
"1440";"CSF3";655,156347458973;-3,13614674270863;0,871968722714067;-3,59662756359786;0,000322369528505683;0,00248713917197469
"144423";"GLT1D1";108,115469475078;-1,61751717851411;0,522287235098122;-3,09698776806257;0,00195497940555524;0,0101322729378825
"144455";"E2F7";86,9281124635451;2,69603254639169;0,499093367632638;5,4018600951959;6,5953382056503e-08;2,99106995281177e-06
"144501";"KRT80";501,348544945928;1,59532267842113;0,570952266164069;2,79414370160797;0,00520373490534232;0,0215708420765472
"145773";"FAM81A";25,3673010182928;1,73289018141289;0,497605284130542;3,48245936423434;0,000496830618723251;0,00348390730435989
"145957";"NRG4";50,259736126429;-1,90870832036921;0,759957135655274;-2,51159997165291;0,0120185239005321;0,0410769746207553
"146212";"KCTD19";56,8011693982552;-1,67103261936655;0,36966051430179;-4,52045202210133;6,17077294527179e-06;0,00010988643390529
